zone,reference,description,qty,note,source_file,source_sheet,category,Код МР,Общее количество
,X1,Розетка СНП268-15РП11-0-В  БСАР.430420.014ТУ,1,"Доп. замена:
Розетка D-SUB",БЗ.doc,doc,connectors,-,6
,X2,Розетка СНП268-25РП11-0-В  БСАР.430420.014ТУ,1,"Доп. замена:
Розетка D-SUB",БЗ.doc,doc,connectors,-,4
,X3,Розетка СНП268-25РП11-0-В  БСАР.430420.014ТУ,1,"Доп. замена:
Розетка D-SUB",БЗ.doc,doc,connectors,-,4
,X4,Розетка СНП268-15РП11-0-В  БСАР.430420.014ТУ,1,"Доп. замена:
Розетка D-SUB",БЗ.doc,doc,connectors,-,6
,X5,Розетка СНП268-25РП11-0-В  БСАР.430420.014ТУ,1,"Доп. замена:
Розетка D-SUB",БЗ.doc,doc,connectors,-,4
,X6,Розетка СНП268-15РП11-0-В  БСАР.430420.014ТУ,1,"Доп. замена:
Розетка D-SUB",БЗ.doc,doc,connectors,-,6
,X7,Розетка СНП377-18РП21-2  РЮМК.430420.017ТУ,1,,БЗ.doc,doc,connectors,-,1
,X8,Розетка СНП268-25РП11-0-В  БСАР.430420.014ТУ,1,"Доп. замена:
Розетка D-SUB",БЗ.doc,doc,connectors,-,4
,X9,Розетка СНП268-15РП11-0-В  БСАР.430420.014ТУ,1,"Доп. замена:
Розетка D-SUB",БЗ.doc,doc,connectors,-,6
,X10,Розетка СНП268-15РП11-0-В  БСАР.430420.014ТУ,1,"Доп. замена:
Розетка D-SUB",БЗ.doc,doc,connectors,-,6
,X11,Розетка СНО 64-96/95×11Р-24-1  НЩ0.364.061ТУ,1,,БЗ.doc,doc,connectors,-,2
,X12,Розетка СНО 64-96/95×11Р-24-1  НЩ0.364.061ТУ,1,,БЗ.doc,doc,connectors,-,2
,X13,Розетка РС10ТВ  АВ0.364.047ТУ,1,,БЗ.doc,doc,connectors,-,2
,X14,"Вилка 20GEEG3E-R,  ф. Delta Electronics",1,,БЗ.doc,doc,connectors,-,1
,X15,Розетка РП-10-7-В  ГЕ0.364.004ТУ,1,,БЗ.doc,doc,connectors,-,1
,X16,Вилка РП-10-11-В  ГЕ0.364.004ТУ,1,,БЗ.doc,doc,connectors,-,3
,X17,Розетка РС10ТВ  АВ0.364.047ТУ,1,,БЗ.doc,doc,connectors,-,2
,X18,Вилка РП-10-11-В  ГЕ0.364.004ТУ,1,,БЗ.doc,doc,connectors,-,3
,X19,Вилка РП-10-11-В  ГЕ0.364.004ТУ,1,,БЗ.doc,doc,connectors,-,3
,X20,Розетка СНП268-15РП11-0-В  БСАР.430420.014ТУ,1,"Доп. замена:
Розетка D-SUB",БЗ.doc,doc,connectors,-,6
,X21,Розетка СНП268-25РП11-1-В  БСАР.430420.014ТУ,1,,БЗ.doc,doc,connectors,-,1
,X22,Розетка СНП268-9РП11-1-В  БСАР.430420.014ТУ,1,,БЗ.doc,doc,connectors,-,1
,X23,Зажим  де4.835.001,1,,БЗ.doc,doc,connectors,-,1
,"XW1, XW2",Адаптер RPC-N 50 Ω JACK-SMA JACK,1,,БЗ.doc,doc,connectors,-,1
