zone,reference,description,qty,note,source_file,source_sheet,category,Код МР,Общее количество
,А1,Многоканальная линия задержки МВОЛЗ-5-FC/APC,1,,БЗ.doc,doc,unclassified,-,1
,,КЕФС.203729.063                   КЕФС.203729.063ТУ,1,,БЗ.doc,doc,unclassified,-,1
,А2,Многоканальная линия задержки МВОЛЗ-6-FC/APC,1,,БЗ.doc,doc,unclassified,-,1
,,КЕФС.203729.064                   КЕФС.203729.063ТУ,1,,БЗ.doc,doc,unclassified,-,1
,,"FC/APC-FC/APC-11,0  КЕФС.203729.065ТУ",1,,БЗ.doc,doc,unclassified,-,1
,,"FC/APC-FC/APC-5,5  КЕФС.203729.065ТУ",1,,БЗ.doc,doc,unclassified,-,1
,,"FC/APC-FC/APC-2,8  КЕФС.203729.065ТУ",1,,БЗ.doc,doc,unclassified,-,1
,"F1, F2",Вставка плавкая   ВП1-1В 5А 250 В  ОЮ0.480.003ТУ-Р,2,,БЗ.doc,doc,unclassified,-,2
,H1,Индикатор единичный 3Л341Б  аА0.339.189ТУ,1,,БЗ.doc,doc,unclassified,-,1
,H2,Индикатор единичный 3Л341Г  аА0.339.189ТУ,1,,БЗ.doc,doc,unclassified,-,1
,,   ,109,"109-049E
ф. SANYO DENKI",БЗ.doc,doc,unclassified,-,108583
,,   ,2,(2 шт.),БЗ.doc,doc,unclassified,-,108583
,S1 - S3,Многоканальный коммутатор МВОК 195-9530-3323/24,3,,БЗ.doc,doc,unclassified,-,3
,S4,Тумблер ПТ69-2В   ОЮ0.360.028ТУ,1,,БЗ.doc,doc,unclassified,-,1
,W1,"Линия задержек программируемая PADL3-20,",1,,БЗ.doc,doc,unclassified,-,1
,,ф. GigaBaudics,1,"(0,003-1,75) м",БЗ.doc,doc,unclassified,-,1
,W2*,"Корректор АЧХ  PNE-L6-005-PKF,  ф. Polaris",1,"PNE-L6-001-PKF,
PNE-L6-002-PKF,",БЗ.doc,doc,unclassified,-,2
,,   ,6,"PNE-L6-003-PKF,
PNE-L6-004-PKF,",БЗ.doc,doc,unclassified,-,108583
,,   ,6,"PNE-L6-006-PKF,
PNE-L6-007-PKF,",БЗ.doc,doc,unclassified,-,108583
,,   ,6,"PNE-L6-008-PKF,
PNE-L6-009-PKF,",БЗ.doc,doc,unclassified,-,108583
,,   ,6,PNE-L6-010-PKF.,БЗ.doc,doc,unclassified,-,108583
,W4*,"Корректор АЧХ  PNE-L6-005-PKF,  ф. Polaris",1,"PNE-L6-001-PKF,
PNE-L6-002-PKF,",БЗ.doc,doc,unclassified,-,2
,,   ,6,"PNE-L6-003-PKF,
PNE-L6-004-PKF,",БЗ.doc,doc,unclassified,-,108583
