=== ОТЛАДОЧНЫЕ МОДУЛИ ===
Всего элементов: 68
================================================================================

1.  | Кол-во: 2 шт
2.  | Кол-во: 2 шт
3. KVM-коммутатор Tiny Pilot Voyager 2a ф.Tiny Pilot | Кол-во: 14 шт
4. Mini-Circuits ZX76-WS+ | Кол-во: 1 шт
5. Robust Ethernet FMC 1,8V (for UltraZed-EV, PicoZed FMC Carrier Card V2 - PicoZed SoM7030 ) ф.Opsero Inc | Кол-во: 14 шт
6. Robust Ethernet FMC 2,5V (MicroZed FMC Carrier - !only MicroZed FMC 7020!, PicoZed FMC Carrier Card V2 - PicoZed FMC SoM 7015 or 7020) ф.Opsero Inc | Кол-во: 14 шт
7. Адаптер QASNL-FF ф.Qualwave | Кол-во: 1 шт
8. Аттенюатор QFA1802-18-1-S ф.Qualwave | Кол-во: 1 шт
9. Аттенюатор QFA1802-18-10-S ф.Qualwave | Кол-во: 1 шт
10. Аттенюатор QFA1802-18-12-S ф.Qualwave | Кол-во: 1 шт
11. Аттенюатор QFA1802-18-15-S ф.Qualwave | Кол-во: 1 шт
12. Аттенюатор QFA1802-18-2-S ф.Qualwave | Кол-во: 1 шт
13. Аттенюатор QFA1802-18-20-S ф.Qualwave | Кол-во: 1 шт
14. Аттенюатор QFA1802-18-3-S ф.Qualwave | Кол-во: 2 шт
15. Аттенюатор QFA1802-18-3-S ф.Qualwave | Кол-во: 2 шт
16. Аттенюатор QFA1802-18-4-S ф.Qualwave | Кол-во: 2 шт
17. Аттенюатор QFA1802-18-4-S ф.Qualwave | Кол-во: 2 шт
18. Аттенюатор QFA1802-18-5-S ф.Qualwave | Кол-во: 2 шт
19. Аттенюатор QFA1802-18-5-S ф.Qualwave | Кол-во: 2 шт
20. Аттенюатор QFA1802-18-6-S ф.Qualwave | Кол-во: 2 шт
21. Аттенюатор QFA1802-18-6-S ф.Qualwave | Кол-во: 2 шт
22. Аттенюатор QFA1802-18-7-S ф.Qualwave | Кол-во: 1 шт
23. Аттенюатор QFA1802-18-8-S ф.Qualwave | Кол-во: 1 шт
24. Аттенюатор QFA1802-18-9-S ф.Qualwave | Кол-во: 1 шт
25. ВЧ – ПЕРЕКЛЮЧАТЕЛЬ MSP2TA-18-12BM+, MINI-CIRCUITS | Кол-во: 1 шт
